"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",0,0,0,0,1,1,0,0,1,1,0,0,4,2,6,66.67,33.33
"Remigio","2",0,0,0,0,3,1,2,0,0,0,0,0,6,0,6,100,0
"Costa","6",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,100,0
"Souza","11",0,0,1,0,1,2,4,0,0,6,0,0,14,1,15,93.33,6.67
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,0,0,5,1,1,0,0,0,0,0,7,0,7,100,0
"Johnson","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"To'oto'o","19",0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,100,0
"Morikawa","20",0,0,0,0,12,0,0,0,0,0,0,0,12,2,14,85.71,14.29
"Kawashima","21",0,0,0,0,6,0,0,0,0,0,0,0,6,4,10,60,40
"Somerville","23",1,0,0,0,3,0,0,0,0,0,0,0,4,3,7,57.14,42.86
"Total","-",1,0,1,0,35,5,7,0,1,7,0,0,57,12,69,82.61,17.39
