"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",8,0,1,0,52,7,1,0,2,19,0,0,90,29,119,75.63,24.37
"Remigio","2",1,0,1,0,63,18,24,1,3,0,0,0,111,6,117,94.87,5.13
"Costa","6",0,0,0,0,20,4,2,1,0,0,0,0,27,4,31,87.1,12.9
"Souza","11",7,0,1,0,49,11,11,0,1,23,1,0,104,17,121,85.95,14.05
"Viola","13",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,100,0
"Malinao","15",0,0,2,0,38,7,8,0,0,2,0,0,57,12,69,82.61,17.39
"Johnson","17",0,0,0,0,1,0,7,0,0,1,7,3,19,11,30,63.33,36.67
"To'oto'o","19",7,0,1,0,70,14,1,3,6,3,0,0,105,16,121,86.78,13.22
"Morikawa","20",1,0,4,0,90,5,6,1,0,6,1,1,115,11,126,91.27,8.73
"Kawashima","21",0,0,0,0,52,2,0,0,1,9,0,0,64,61,125,51.2,48.8
"Somerville","23",4,0,3,0,44,11,13,0,0,9,2,1,87,10,97,89.69,10.31
"Total","All Divisions",28,0,13,0,479,79,74,6,13,72,11,5,780,177,957,81.5,18.5
