"Judge","Division","GLTJ","GLTW","ACQJ","ACQB","COP","Deferrals","Dismissals","DPJ48","DWO48","NPQ","RMD","AQRI","Disposed","Awaiting","Total","Disposed(%)","Awaiting(%)"
"Wong","1",1,0,0,0,4,0,0,0,0,0,0,0,5,0,5,100,0
"Remigio","2",0,0,0,0,3,0,3,0,0,0,0,0,6,0,6,100,0
"Costa","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Souza","11",0,0,0,0,4,2,0,0,0,0,0,0,6,1,7,85.71,14.29
"Viola","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"Malinao","15",0,0,1,0,0,2,0,0,0,0,0,0,3,0,3,100,0
"Johnson","17",0,0,0,0,0,0,6,0,0,1,0,0,7,1,8,87.5,12.5
"To'oto'o","19",0,0,0,0,6,0,0,0,0,0,0,0,6,0,6,100,0
"Morikawa","20",0,0,0,0,11,0,0,0,0,0,0,0,11,1,12,91.67,8.33
"Kawashima","21",0,0,0,0,5,0,0,0,0,0,0,0,5,12,17,29.41,70.59
"Somerville","23",0,0,0,0,3,2,0,0,0,0,0,0,5,0,5,100,0
"Total","-",1,0,1,0,36,6,9,0,0,1,0,0,54,15,69,78.26,21.74
